idUnificado,_Li,_Na,_K,_Mg,_Ca,_Cl,_SO4,_HCO3,Temperature
354,0.0246,288.6,35.50,9,54.8,48,272,558.8,140
355,0.0896,410,39.4,5.6,26,65,392.6,595.4,162
543,0.12,680,70,6.1,42,115,34,,155
191,0.38,230,7.4,0.1,35,,,,95
544,0.42,506,55,4.9,11.6,80,471,,163
545,0.42,532,62,5.8,6.4,80,456,,160
546,0.42,523,58,4.6,8.4,81,446,,150
347,0.75,100,10,,,2,290,,100
359,1.2,435,39,,260,28,15,2284,143
2,1.4,455,23,0.1,17.9,545,229,38,169
187,1.4,535.0,22.00,0.24,50,,,,147
201,1.4,565,31,0.22,1,632,30,,160
348,1.4,1460,44,4.9,22.5,220,685,,100
462,1.4,455,23,0.1,17.9,545,229,38,169
193,1.5,850,36,0.32,45,,,,154
298,1.5,257.0,24.00,0.43,35,282,330,549,141
299,1.5,318,77.00,0.13,11.6,387,148,121,131
108,1.6,443,41,0.1,20,525,261,,212
109,1.6,466,47.1,0.1,18.8,547,238,,205
459,1.6,443,41,0.1,20,525,261,,212
460,1.6,466,47.1,0.1,18.8,547,238,,205
485,1.6,380,29,,,192,,,124
665,1.62,750,75,12,12,76,1350,,116
13,1.7,488,57.4,0.1,12.3,585,251,13,215
111,1.7,488,57.4,0.1,12.3,585,251,13,215
198,1.9,1500.0,42.00,1.7,110,,,,136
188,1.95,206,9,0.5,2,201,,,135
192,2,900,67,0.1,41,,,,154
197,2,723,42,1.6,41,,,,170
189,2.05,190,7,1.0,30,201,,,116
190,2.09,205,9,0.5,6,212,,,104
110,2.1,475,63.3,0.2,20.6,640,154,11,217
461,2.1,475,63.3,0.2,20.6,640,154,11,217
567,2.1,375,37,,,372,97,198,260
297,2.2,437,47,1.1,20,417,320,,158
199,2.3,1200,130,0.36,58,,,,199
296,2.4,265,30,0.18,7.8,269,102,391,180
383,2.4,695,120,0.15,3.7,1100,46,,258
384,2.5,375,35,0.06,1,355,12,,150
113,2.6,502,89,0.1,8.4,785,95,,238
114,2.6,510,73,0.1,9.2,732,191,61,241
194,2.6,360,15,0.04,1.2,240,16,493,169
295,2.6,532,48,0.12,16,475,60,352,100
301,2.6,491,39,0.26,17,617,118,13,173
