idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
0,0.0246,288.6,35.5,9.000001,54.8,48,272,558.800001,140
1,0.0896,410,39.4,5.600001,26,65,392.6,595.400001,162
2,0.12,680,70,6.100001,42,115,34,,155
3,0.38,230,7.4,0.100001,35,,,,95
4,0.42,506,55,4.900001,11.6,80,471,,163
5,0.42,532,62,5.800001,6.4,80,456,,160
6,0.42,523,58,4.600001,8.4,81,446,,150
7,0.75,100,10,,,2,290,,100
8,1.2,435,39,,260,28,15,2284.000001,143
9,1.4,455,23,0.100001,17.9,545,229,38.000001,169
10,1.4,535,22,0.240001,50,,,,147
11,1.4,565,31,0.220001,1,632,30,,160
12,1.4,1460,44,4.900001,22.5,220,685,,100
13,1.4,455,23,0.100001,17.9,545,229,38.000001,169
14,1.5,850,36,0.320001,45,,,,154
15,1.5,257,24,0.430001,35,282,330,549.000001,141
16,1.5,318,77,0.130001,11.6,387,148,121.000001,131
17,1.6,443,41,0.100001,20,525,261,,212
18,1.6,466,47.1,0.100001,18.8,547,238,,205
19,1.6,443,41,0.100001,20,525,261,,212
20,1.6,466,47.1,0.100001,18.8,547,238,,205
21,1.6,380,29,,,192,,,124
22,1.62,750,75,12.000001,12,76,1350,,116
23,1.7,488,57.4,0.100001,12.3,585,251,13.000001,215
24,1.7,488,57.4,0.100001,12.3,585,251,13.000001,215
25,1.9,1500,42,1.700001,110,,,,136
26,1.95,206,9,0.500001,2,201,,,135
27,2,900,67,0.100001,41,,,,154
28,2,723,42,1.600001,41,,,,170
29,2.05,190,7,1.000001,30,201,,,116
30,2.09,205,9,0.500001,6,212,,,104
31,2.1,475,63.3,0.200001,20.6,640,154,11.000001,217
32,2.1,475,63.3,0.200001,20.6,640,154,11.000001,217
33,2.1,375,37,,,372,97,198.000001,260
34,2.2,437,47,1.100001,20,417,320,,158
35,2.3,1200,130,0.360001,58,,,,199
36,2.4,265,30,0.180001,7.8,269,102,391.000001,180
37,2.4,695,120,0.150001,3.7,1100,46,,258
38,2.5,375,35,0.060001,1,355,12,,150
39,2.6,502,89,0.100001,8.4,785,95,,238
40,2.6,510,73,0.100001,9.2,732,191,61.000001,241
41,2.6,360,15,0.040001,1.2,240,16,493.000001,169
42,2.6,532,48,0.120001,16,475,60,352.000001,100
43,2.6,491,39,0.260001,17,617,118,13.000001,173
44,2.6,502,89,0.100001,8.4,785,95,,238
45,2.6,510,73,0.100001,9.2,732,191,61.000001,241
46,2.8,514,93.3,0.100001,14.2,758,108,36.000001,246
47,2.8,514,93.3,0.100001,14.2,758,108,36.000001,246
48,3,1100,100,3.600001,20,228,153,,162
49,3.1,254,40.2,0.150001,1,301,64,,234
50,3.1,550,54,0.020001,1,546,142,,225
51,3.3,933,126,0.040001,3.1,1369,12,210.000001,100
52,3.5,270,11,0.020001,1.26,278,19.1,177.000001,174
53,3.6,1190,145,0.030001,19,1865,11,50.000001,100
54,3.62,1335,154,0.240001,0.95,58,704,,205
55,3.62,1340,138,0.150001,1.2,140,730,,205
56,3.7,16500,120,30.000001,130,23800,25,582.000001,103
57,3.96,1134,131,0.270001,1.15,46,644,,196
58,3.96,1220,116,0.360001,1.2,124,560,,196
59,4,1400,125,0.300001,13,,,,182
60,4.09,1214,132,0.180001,0.42,100,337,,195
61,4.09,1300,138,0.230001,2,128,773,,195
62,4.43,1245,151,0.290001,3.65,49,656,,211
63,4.43,1400,148,0.240001,3.2,136,714,,211
64,4.45,1410,152,0.200001,1.2,144,737,,207
65,4.5,1280,135,0.200001,2.5,117,770,1860.000001,200
66,4.5,846,105,0.025001,9.9,,,,230
67,4.55,2270,263,19.000001,221,4083,46,396.000001,210
68,4.58,1330,140,0.150001,1.6,140,676,,201
69,4.58,1375,140,0.150001,1.6,140,710,,201
70,4.9,1400,146,,,1142,,1410.000001,244
71,5,1143,220,9.000001,96,1691,393,201.000001,163
72,5,1241,254,5.000001,51,1639,332,100.000001,178
73,5.03,2141,273,0.070001,63,3615,34,19.000001,248
74,5.17,2396,300,0.050001,66,4000,43,24.000001,241
75,5.18,2444,304,0.050001,65,3981,46,20.000001,240
76,5.2,936,131,0.190001,12.3,1474,136,46.000001,248
77,5.28,2027,79,3.100001,12.8,165,1843,,182
78,5.3,688,119,0.320001,2,1220,11,,256
79,5.35,745,123,0.160001,2.6,1234,9,,258
80,5.36,2307,285,0.170001,75,3861,47,22.000001,238
81,5.41,2433,293,0.060001,60,4059,38,34.000001,244
82,5.42,2675,326,0.120001,117,4570,49,12.000001,239
83,5.43,2566,321,0.070001,104,4331,43,14.000001,241.7
84,5.5,740,130,0.390001,1.1,1262,10.5,,262
85,5.5,2400,270,19.500001,228,4150,70,370.000001,210
86,5.52,2568,328,0.020001,85,4331,35,7.000001,228.7
87,5.53,2434,304,0.190001,80,4064,47,24.000001,238
88,5.57,2352,299,0.060001,74,3941,47,24.000001,236.8
89,5.57,2434,301,0.180001,89,4155,43,21.000001,239
90,5.58,2526,319,0.050001,73,4285,33,16.000001,244
91,5.58,2546,319,0.080001,94,4355,46,14.300001,238.7
92,5.67,2506,313,0.090001,70,4115,40,23.000001,235
93,5.71,2535,323,0.040001,68,4254,52,13.000001,245
94,5.73,2513,304,0.080001,96,4174,37,19.000001,237
95,5.77,2228,269,0.080001,59,3805,59,24.000001,237
96,5.78,2503,288,0.110001,75,4124,52,30.000001,236
97,5.78,2522,321,0.080001,82,4240,42,21.000001,241
98,5.82,2324,297,0.690001,63,3943,61,88.000001,235
99,5.83,2462,313,0.050001,54,4046,50,24.000001,240
100,5.9,2446,299,0.300001,71,4110,66,29.000001,229
101,5.93,2485,301,0.070001,62,4099,38,44.000001,244.2
102,5.95,2391,289,0.090001,77,3992,46,26.000001,232
